path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,t_eff,seq_len,count,lat_mean_ms,lat_median_ms,lat_std_ms
features.6.1.block.1,899b51117473f91e,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.1.block.1,forward,False,31104,,3810816,,1,1,25,5.898,5.6011,0.817
features.6.1.block.1.0,c7f6c9a271c9b818,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1152, ""has_bias"": false, ""in_channels"": 1152, ""kernel_size"": [5, 5], ""out_channels"": 1152, ""padding"": [2, 2], ""stride"": [1, 1]}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.1.block.1.0,forward,True,28800,11520000,3801600,3.0303,400,400,25,4.2126,3.9116,0.7786
features.6.1.block.1.1,640ef974f7a5a24c,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 1e-05, ""has_bias"": true, ""momentum"": 0.1}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.1.block.1.1,forward,True,2304,921600,3695616,0.2494,400,400,25,0.7188,0.6159,0.1921
features.6.1.block.1.2,f8a348357b213e8e,SiLU,"{""class"": ""SiLU""}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.1.block.1.2,forward,True,0,460800,3686400,0.125,400,400,25,0.7091,0.5988,0.3208
features.6.1.block.2,95ee3a0d9fa7c564,SqueezeExcitation,"{""class"": ""SqueezeExcitation""}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.1.block.2,forward,False,111792,,4133568,,1,1,25,1.5711,1.279,0.5136
features.6.1.block.2.avgpool,6c472ced2a3f8cd5,AdaptiveAvgPool2d,"{""class"": ""AdaptiveAvgPool2d""}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 1, 1]]",features.6.1.block.2.avgpool,forward,True,0,,1847808,,1,1,25,0.3832,0.2881,0.3225
features.6.1.block.2.fc1,ad44247840a60a25,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 1152, ""kernel_size"": [1, 1], ""out_channels"": 48, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 1152, 1, 1]]","[""torch.float32""]","[[1, 48, 1, 1]]",features.6.1.block.2.fc1,forward,True,55344,55296,226176,0.2445,1,1,25,0.1321,0.1223,0.0258
features.6.1.block.2.fc2,21ad854780a3d750,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 1152, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 48, 1, 1]]","[""torch.float32""]","[[1, 1152, 1, 1]]",features.6.1.block.2.fc2,forward,True,56448,55296,230592,0.2398,1,1,25,0.1017,0.0778,0.045
features.6.1.block.2.activation,d1ba4658742ecfdd,SiLU,"{""class"": ""SiLU""}","[[1, 48, 1, 1]]","[""torch.float32""]","[[1, 48, 1, 1]]",features.6.1.block.2.activation,forward,True,0,48,384,0.125,1,1,25,0.0251,0.0205,0.0125
features.6.1.block.2.scale_activation,a35b111ddb1a90ac,Sigmoid,"{""class"": ""Sigmoid""}","[[1, 1152, 1, 1]]","[""torch.float32""]","[[1, 1152, 1, 1]]",features.6.1.block.2.scale_activation,forward,True,0,,9216,,1,1,25,0.0306,0.0241,0.0128
features.6.1.block.3,899b51117473f91e,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 192, 20, 20]]",features.6.1.block.3,forward,False,221568,,3036672,,1,1,25,3.6614,3.4709,0.4103
features.6.1.block.3.0,29ac0dcc36e0e2c2,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 1152, ""kernel_size"": [1, 1], ""out_channels"": 192, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 192, 20, 20]]",features.6.1.block.3.0,forward,True,221184,88473600,3035136,29.1498,400,400,25,3.3852,3.2013,0.4204
features.6.1.block.3.1,7ea10964c717898b,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 1e-05, ""has_bias"": true, ""momentum"": 0.1}","[[1, 192, 20, 20]]","[""torch.float32""]","[[1, 192, 20, 20]]",features.6.1.block.3.1,forward,True,384,153600,615936,0.2494,400,400,25,0.1312,0.1253,0.0259
features.6.1.stochastic_depth,d35f781b873edb49,StochasticDepth,"{""class"": ""StochasticDepth""}","[[1, 192, 20, 20]]","[""torch.float32""]","[[1, 192, 20, 20]]",features.6.1.stochastic_depth,forward,True,0,,614400,,1,1,25,0.0156,0.0157,0.0006
features.6.2,ce1da0447f102275,MBConv,"{""class"": ""MBConv""}","[[1, 192, 20, 20]]","[""torch.float32""]","[[1, 192, 20, 20]]",features.6.2,forward,False,587952,,2966208,,1,1,25,18.8664,18.3495,2.2744
features.6.2.block,c4a8e887ddff682c,Sequential,"{""class"": ""Sequential""}","[[1, 192, 20, 20]]","[""torch.float32""]","[[1, 192, 20, 20]]",features.6.2.block,forward,False,587952,,2966208,,1,1,25,18.6503,18.1627,2.2267
features.6.2.block.0,c35457c70750608c,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 192, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.2.block.0,forward,False,223488,,3044352,,1,1,25,6.6539,6.5153,1.3212
features.6.2.block.0.0,97a5ef98099ab746,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 192, ""kernel_size"": [1, 1], ""out_channels"": 1152, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 192, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.2.block.0.0,forward,True,221184,88473600,3035136,29.1498,400,400,25,4.2612,4.4423,1.024
features.6.2.block.0.1,640ef974f7a5a24c,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 1e-05, ""has_bias"": true, ""momentum"": 0.1}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.2.block.0.1,forward,True,2304,921600,3695616,0.2494,400,400,25,0.8646,0.666,0.4265
features.6.2.block.0.2,f8a348357b213e8e,SiLU,"{""class"": ""SiLU""}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.2.block.0.2,forward,True,0,460800,3686400,0.125,400,400,25,1.247,1.1168,0.6575
features.6.2.block.1,899b51117473f91e,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.2.block.1,forward,False,31104,,3810816,,1,1,25,6.2105,6.166,1.1229
features.6.2.block.1.0,c7f6c9a271c9b818,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1152, ""has_bias"": false, ""in_channels"": 1152, ""kernel_size"": [5, 5], ""out_channels"": 1152, ""padding"": [2, 2], ""stride"": [1, 1]}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.2.block.1.0,forward,True,28800,11520000,3801600,3.0303,400,400,25,4.2435,4.101,0.6201
features.6.2.block.1.1,640ef974f7a5a24c,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 1e-05, ""has_bias"": true, ""momentum"": 0.1}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.2.block.1.1,forward,True,2304,921600,3695616,0.2494,400,400,25,0.8181,0.6205,0.459
features.6.2.block.1.2,f8a348357b213e8e,SiLU,"{""class"": ""SiLU""}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.2.block.1.2,forward,True,0,460800,3686400,0.125,400,400,25,0.8635,0.6362,0.3416
features.6.2.block.2,95ee3a0d9fa7c564,SqueezeExcitation,"{""class"": ""SqueezeExcitation""}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.2.block.2,forward,False,111792,,4133568,,1,1,25,1.6055,1.3117,0.4796
features.6.2.block.2.avgpool,6c472ced2a3f8cd5,AdaptiveAvgPool2d,"{""class"": ""AdaptiveAvgPool2d""}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 1, 1]]",features.6.2.block.2.avgpool,forward,True,0,,1847808,,1,1,25,0.3314,0.3242,0.0789
features.6.2.block.2.fc1,ad44247840a60a25,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 1152, ""kernel_size"": [1, 1], ""out_channels"": 48, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 1152, 1, 1]]","[""torch.float32""]","[[1, 48, 1, 1]]",features.6.2.block.2.fc1,forward,True,55344,55296,226176,0.2445,1,1,25,0.136,0.1254,0.0236
features.6.2.block.2.fc2,21ad854780a3d750,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 1152, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 48, 1, 1]]","[""torch.float32""]","[[1, 1152, 1, 1]]",features.6.2.block.2.fc2,forward,True,56448,55296,230592,0.2398,1,1,25,0.1138,0.0801,0.0612
features.6.2.block.2.activation,d1ba4658742ecfdd,SiLU,"{""class"": ""SiLU""}","[[1, 48, 1, 1]]","[""torch.float32""]","[[1, 48, 1, 1]]",features.6.2.block.2.activation,forward,True,0,48,384,0.125,1,1,25,0.0323,0.0208,0.0208
features.6.2.block.2.scale_activation,a35b111ddb1a90ac,Sigmoid,"{""class"": ""Sigmoid""}","[[1, 1152, 1, 1]]","[""torch.float32""]","[[1, 1152, 1, 1]]",features.6.2.block.2.scale_activation,forward,True,0,,9216,,1,1,25,0.0493,0.0247,0.0726
features.6.2.block.3,899b51117473f91e,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 192, 20, 20]]",features.6.2.block.3,forward,False,221568,,3036672,,1,1,25,3.9087,3.5527,1.1162
