path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,t_eff,seq_len,count,lat_mean_ms,lat_median_ms,lat_std_ms
9.cv1.conv,84ef5338b41f8143,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 256, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",9.cv1.conv,forward,True,32768,13107200,745472,17.5824,400,400,30,1.2459,0.869,0.7479
9.cv1.bn,8de7bac41945387e,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",9.cv1.bn,forward,True,256,102400,410624,0.2494,400,400,30,0.2271,0.1031,0.2723
9.cv2,931c7b9fe350d92d,Conv,"{""class"": ""Conv""}","[[1, 512, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",9.cv2,forward,False,131584,,1755136,,1,1,30,3.4187,2.9062,1.603
9.cv2.conv,79484bad42a8ed32,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 512, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 512, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",9.cv2.conv,forward,True,131072,52428800,1753088,29.9065,400,400,30,2.7402,2.2172,1.1976
9.cv2.bn,ac8618e635cc7fb1,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",9.cv2.bn,forward,True,512,204800,821248,0.2494,400,400,30,0.1779,0.1124,0.1775
9.m,2dc12e0869bccbe7,MaxPool2d,"{""class"": ""MaxPool2d""}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",9.m,forward,True,0,51200,409600,0.125,1,1,90,1.0722,1.0365,0.4759
10,93c5d930f57eefe9,Upsample,"{""class"": ""Upsample""}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 40, 40]]",10,forward,True,0,409600,2048000,0.2,1,1,30,2.8043,2.4782,1.0017
11,0cd094669177a78c,Concat,"{""class"": ""Concat""}","[[1, 256, 40, 40], [1, 128, 40, 40]]","[""torch.float32""]","[[1, 384, 40, 40]]",11,forward,True,0,614400,4915200,0.125,1,1,30,0.8988,0.5803,0.7899
12,8c29c258aacc9f56,C2f,"{""class"": ""C2f""}","[[1, 384, 40, 40]]","[""torch.float32""]","[[1, 128, 40, 40]]",12,forward,False,148224,,3869696,,1,1,30,15.7856,13.4362,6.1875
12.cv1,3046dacecc4dd6d9,Conv,"{""class"": ""Conv""}","[[1, 384, 40, 40]]","[""torch.float32""]","[[1, 128, 40, 40]]",12.cv1,forward,False,49408,,3474432,,1,1,30,5.8493,4.975,2.6355
